|||FirstProcess||OTHER|0|||<global namespace>|InitializeTestModule|Initializer||METHOD|1|
|||FirstProcess||OTHER|0|||Microsoft.CodeAnalysis.CSharp.UnitTests.Symbols|TypeTests|||PROPERTY|1|
|||FirstProcess||OTHER|0|||Microsoft.CodeAnalysis.CSharp.UnitTests.Symbols|TypeTests|ExplicitlyImplementGenericInterface||METHOD|1|
|System.Diagnostics|Debug|Assert|bool condition|METHOD|3312|Null.{}.{P}.{}.{}<EOF>||Microsoft.CodeAnalysis.CSharp.Symbols|SymbolExtensions|IsIndexer|Microsoft.CodeAnalysis.CSharp.Symbol symbol|METHOD|1|
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|99|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||Microsoft.CodeAnalysis.CSharp|CSharpParseOptions|WithFeatures|System.Collections.Generic.IEnumerable<System.Collections.Generic.KeyValuePair<string, string>>? features|METHOD|1|
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|99|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||Microsoft.CodeAnalysis.CSharp.Symbols|MemberSignatureComparer|GetHashCode|Microsoft.CodeAnalysis.CSharp.Symbol member|METHOD|1|
|Microsoft.CodeAnalysis|GreenNodeExtensions|WithAnnotationsGreen|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax.SyntaxTrivia node,System.Collections.Generic.IEnumerable<Microsoft.CodeAnalysis.SyntaxAnnotation> annotations|METHOD|6|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SyntaxTrivia|SetAnnotations|Microsoft.CodeAnalysis.SyntaxAnnotation[]? annotations|METHOD|6|
|Microsoft.CodeAnalysis.PooledObjects|ObjectPool|Allocate||METHOD|11|FULL HAVOC||Microsoft.CodeAnalysis.CSharp|BinderFactoryVisitor|ctor|Microsoft.CodeAnalysis.CSharp.BinderFactory factory|METHOD|1|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|AbstractLexer|Start||METHOD|39|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SlidingTextWindow|get_Offset||METHOD|78|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SlidingTextWindow|get_CharacterWindowCount||METHOD|39|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SlidingTextWindow|get_CharacterWindow||METHOD|74|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SlidingTextWindow|AdvanceChar|int n|METHOD|39|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SlidingTextWindow|get_LexemeStartPosition||METHOD|4|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SlidingTextWindow|Reset|int position|METHOD|4|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|SlidingTextWindow|get_LexemeRelativeStart||METHOD|70|
|Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|Lexer|QuickScanSyntaxToken||METHOD|39|FULL HAVOC||Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax|LexerCache|LookupToken|char[] textBuffer,int keyStart,int keyLength,int hashCode,System.Func<Microsoft.CodeAnalysis.CSharp.Syntax.InternalSyntax.SyntaxToken> createTokenFunction|METHOD|35|
